meal_name,meal_type,cuisine,diet,goal,mood,features

Dhokla,Breakfast,Gujarati,Vegetarian,Weight Loss,Healthy,"breakfast gujarati vegetarian weight_loss healthy"
Thepla,Breakfast,Gujarati,Vegetarian,Balanced,Energetic,"breakfast gujarati vegetarian balanced energetic"
Fafda Jalebi,Breakfast,Gujarati,Vegetarian,Weight Gain,Festive,"breakfast gujarati vegetarian weight_gain festive"
Methi Thepla,Breakfast,Gujarati,Vegetarian,Healthy,Healthy,"breakfast gujarati vegetarian healthy healthy"
Khakhra Breakfast,Breakfast,Gujarati,Vegetarian,Weight Loss,Healthy,"breakfast gujarati vegetarian weight_loss healthy"
Sev Usal,Breakfast,Gujarati,Vegetarian,Balanced,Spicy,"breakfast gujarati vegetarian balanced spicy"
Bataka Poha,Breakfast,Gujarati,Vegetarian,Balanced,Energetic,"breakfast gujarati vegetarian balanced energetic"

Khaman,Brunch,Gujarati,Vegetarian,Balanced,Comfort Food,"brunch gujarati vegetarian balanced comfort"
Handvo,Brunch,Gujarati,Vegetarian,High Protein,Healthy,"brunch gujarati vegetarian high_protein healthy"
Sev Khamani,Brunch,Gujarati,Vegetarian,Balanced,Energetic,"brunch gujarati vegetarian balanced energetic"
Patra,Brunch,Gujarati,Vegetarian,Balanced,Healthy,"brunch gujarati vegetarian balanced healthy"
Locho,Brunch,Gujarati,Vegetarian,Balanced,Comfort Food,"brunch gujarati vegetarian balanced comfort"
Lilva Kachori,Brunch,Gujarati,Vegetarian,Weight Gain,Festive,"brunch gujarati vegetarian weight_gain festive"
Dalwada,Brunch,Gujarati,Vegetarian,Balanced,Spicy,"brunch gujarati vegetarian balanced spicy"

Gujarati Thali,Lunch,Gujarati,Vegetarian,Balanced,Festive,"lunch gujarati vegetarian balanced festive"
Dal Khichdi,Lunch,Gujarati,Vegetarian,Weight Loss,Healthy,"lunch gujarati vegetarian weight_loss healthy"
Undhiyu,Lunch,Gujarati,Vegetarian,Balanced,Festive,"lunch gujarati vegetarian balanced festive"
Bhindi Sambhariya,Lunch,Gujarati,Vegetarian,Balanced,Healthy,"lunch gujarati vegetarian balanced healthy"
Ringan Batata Nu Shaak,Lunch,Gujarati,Vegetarian,Balanced,Comfort Food,"lunch gujarati vegetarian balanced comfort"
Tuver Dal Rice,Lunch,Gujarati,Vegetarian,Balanced,Comfort Food,"lunch gujarati vegetarian balanced comfort"
Muthiya Curry,Lunch,Gujarati,Vegetarian,Healthy,Healthy,"lunch gujarati vegetarian healthy healthy"

Dabeli,Evening Snacks,Gujarati,Vegetarian,Weight Gain,Comfort Food,"snacks gujarati vegetarian weight_gain comfort"
Khakhra,Evening Snacks,Gujarati,Vegetarian,Weight Loss,Healthy,"snacks gujarati vegetarian weight_loss healthy"
Patra,Evening Snacks,Gujarati,Vegetarian,Balanced,Healthy,"snacks gujarati vegetarian balanced healthy"
